Year,Country,Cropland,Grazing,Forest,Fishing,Builtup,Carbon
1961,World,0.467548866741937,0.478144203100351,1.7787729771141698,0.36491011603399204,0.0264878840655066,0.0
1962,World,0.478817055403452,0.46907274613184996,1.74381574575775,0.357243118756169,0.0275487390221926,0.0
1963,World,0.47473184590649004,0.458937625506117,1.70646091880882,0.349265622132778,0.0276577061698831,0.0
1964,World,0.480773928059104,0.44991976461640204,1.6730704715169498,0.34176474909078397,0.0284901860194183,0.0
1965,World,0.47897461076818,0.440819893385597,1.63983798330365,0.333822316885101,0.0288357682001387,0.0
1966,World,0.49521081376294396,0.432977000989146,1.6070785507008098,0.326998788842248,0.0304675051056437,0.0
1967,World,0.49978831343384206,0.42403361608963197,1.5738425264123899,0.31939855998677696,0.0312549457760837,0.0
1968,World,0.505254331317472,0.41424241346671203,1.5358085028100703,0.31223085565725894,0.0319866326284605,0.0
1969,World,0.5059332026542089,0.403846963933502,1.4999116026305401,0.303723554910684,0.0322772519238349,0.0
1970,World,0.510950615516609,0.3972058679633279,1.46699641659675,0.298212860721558,0.0332893937749544,0.0
1971,World,0.523339371364637,0.390182656941726,1.4341058394477,0.291819600656726,0.0348224096502526,0.0
1972,World,0.49946205074195504,0.385382596380197,1.40408764326545,0.28706227642174104,0.0339413919219108,0.0
1973,World,0.517685318232589,0.377212189429758,1.3769379868258997,0.279783917086296,0.0356866784091651,0.0
1974,World,0.4963205328095979,0.37235220649368206,1.3469763853209298,0.27542089282615,0.034872543763124,0.0
1975,World,0.489043288392666,0.36596345068676894,1.3204197381583,0.2701775651653,0.0350192348122442,0.0
1976,World,0.504091037401822,0.358510755239826,1.29240025329096,0.264953006062794,0.0366888697403295,0.0
1977,World,0.49441426905860997,0.354020867614011,1.26723882425112,0.261442311611238,0.0367034046387748,0.0
1978,World,0.521476451446399,0.348227849798961,1.24126906462629,0.25725879052586303,0.0392469817015883,0.0
1979,World,0.505760322848556,0.34356084944594,1.21722853113232,0.25323255489470103,0.0386422826566446,0.0
1980,World,0.4905542842159779,0.33863543780780797,1.2015966323645,0.24879933510114896,0.0381006853907813,0.0
1981,World,0.500836696556563,0.333726733845885,1.17968201460895,0.24491232202603103,0.0396499516943133,0.0
1982,World,0.5191974857856161,0.32658475999145803,1.15568040395574,0.23931511080885198,0.0414372436473958,0.0
1983,World,0.49942372455771294,0.32052949410355897,1.1344197452729599,0.23451781662975896,0.0404860152049953,0.0
1984,World,0.5295555673129999,0.313912215941768,1.1131349442493899,0.22887722636525798,0.0431862463662653,0.0
1985,World,0.5311889917963979,0.308096771193847,1.09132801524476,0.22359982272539605,0.0436404509564026,0.0
1986,World,0.528703760248226,0.301839300386634,1.0748176243285001,0.21803251745504604,0.0439308638074339,0.0
1987,World,0.522265363683948,0.296975687603054,1.05448533437574,0.213813548378393,0.0440331084303993,0.0
1988,World,0.499553651783614,0.292623374439551,1.0356118875996199,0.20954277513813802,0.0428107139281604,0.0
1989,World,0.517603563469367,0.28813179700387703,1.01752139252498,0.20563629935223102,0.0450436718811872,0.0
1990,World,0.532381569660377,0.284760668662707,1.0018525736671802,0.202545746974346,0.0469826095045774,0.0
1991,World,0.509922053162024,0.280197867747388,0.984775573301211,0.19896249018750797,0.0456267147933053,0.0
1992,World,0.512022385455444,0.281826787130004,0.980510139270899,0.19994794788598,0.04652848237691599,0.0
1993,World,0.49814269424954205,0.2764960971171961,0.9638807490629571,0.196982206839471,0.0459188965887572,0.0
1994,World,0.503108829181827,0.27376668297912,0.9496514125516121,0.19378005958691602,0.047032848331835,0.0
1995,World,0.48941690774479607,0.269592037035922,0.934565757568225,0.190491017119659,0.0463856837806247,0.0
1996,World,0.508994862760598,0.266919324416097,0.9224744045766479,0.18762387525854998,0.0491261924856825,0.0
1997,World,0.509138883925669,0.264395449600492,0.9081111944019871,0.185045288230059,0.0496076742768628,0.0
1998,World,0.5138415183408089,0.26182480529597,0.894864265125342,0.18263183542877398,0.0506113244553997,0.0
1999,World,0.514200282976234,0.258617762070363,0.881042631737844,0.18028939134851396,0.0512272028064464,0.0
2000,World,0.505571739504276,0.256215728752262,0.8680173997543041,0.178327270552818,0.0511217591758517,0.0
2001,World,0.508706051873473,0.25330213163938803,0.855289775160827,0.17636869898699303,0.0521296026995901,0.0
2002,World,0.4992892233719671,0.249544058611198,0.8448445317074029,0.17419080429076803,0.0519299357328886,0.0
2003,World,0.496203210038504,0.243851186118891,0.8301590866636741,0.171238769974211,0.0519925626257168,0.0
2004,World,0.526861910384663,0.240747647277333,0.818010209174855,0.168818460275561,0.0556858384148583,0.0
2005,World,0.511686113248394,0.236202614701132,0.8058870647289559,0.165951269045501,0.0544921101997462,0.0
2006,World,0.508539781242976,0.23244769932733897,0.79687594135939,0.16360771869042198,0.0552061128971483,0.0
2007,World,0.510036271243735,0.22907176727742298,0.7848271623367679,0.161410504737797,0.0559881790908701,0.0
2008,World,0.527679511714146,0.22641700171077603,0.7734684252331769,0.161035967393329,0.0584953025939903,0.0
2009,World,0.5188847786247099,0.22162008796055604,0.7601095823543159,0.15978888343742198,0.0582747324191944,0.0
2010,World,0.515696509130071,0.21813134142048102,0.7509060830573661,0.157394604630434,0.0586694976393553,0.0
2011,World,0.523288153031894,0.21422576507574104,0.74027395737924,0.15468113860277802,0.0597578242227756,0.0
2012,World,0.5149945624723621,0.211175284098191,0.728494838711435,0.15268323858940303,0.0591016558843936,0.0
2013,World,0.534674826037538,0.209108760697015,0.7171366440065241,0.151469692083616,0.0619581072197944,0.0
2014,World,0.539552099649781,0.20757623171793102,0.705850128083085,0.15012608721231901,0.0629018102294931,0.0
2015,World,0.53665957155924,0.20338096850388798,0.6936350499145071,0.148880474436954,0.0628905282165059,0.0
2016,World,0.533644534533456,0.201522063719418,0.6845841921202029,0.14670557495758801,0.0632943452626243,0.0
1961,Western Europe,0.5167489384945041,0.1454072530503654,0.8208564741451673,0.14318107859897258,0.06531719646866183,0.0
1962,Western Europe,0.5868567757405025,0.1435896738343407,0.8172342930246965,0.14138741185121045,0.07455919197951873,0.0
1963,Western Europe,0.5827908497496229,0.1413161816506976,0.8102354679496946,0.1394419836343463,0.07498319913332417,0.0
