Year,Country,Cropland,Grazing,Forest,Fishing,Builtup,Carbon
1961,World,0.15005432190910348,0.08476816540056233,0.13753181875665313,0.030538703782703763,0.00850097554498047,0.3209092742209124
1962,World,0.1556370743606515,0.08500926597496361,0.1378141979312748,0.031741193703893784,0.008954578988683744,0.3327709890119096
1963,World,0.15734948403196602,0.08667428475957202,0.13916673785044356,0.03274871793612437,0.00916712420467374,0.3563043471651519
1964,World,0.1616579826847227,0.0856096938041128,0.14344938322290868,0.03193355201684546,0.009579691679215713,0.3777615356994305
1965,World,0.16390382779472484,0.08751615967665632,0.14481946200843482,0.034261356007107474,0.00986752257666456,0.3973840309576907
1966,World,0.17119135159400578,0.08633766817308428,0.145681401862368,0.036276082706850274,0.010532430297915894,0.4151237414881907
1967,World,0.17546787969408134,0.08753623218470442,0.14714775355511475,0.03855812983616321,0.010973123856384149,0.4250765957862632
1968,World,0.1804787383370388,0.08730311607802113,0.14806806943986098,0.040819460567007006,0.011425744902338214,0.44815830538247947
1969,World,0.1842643299059878,0.08667484031540502,0.14964496875140593,0.040485732921534685,0.01175559573032642,0.4815774627650802
1970,World,0.18877566085701766,0.08597563440870866,0.15216510433370334,0.04088696812413496,0.012299089419909369,0.5256500180523838
1971,World,0.19569429983786096,0.08725315485856341,0.1526694976944481,0.0398036019113133,0.01302127729737596,0.5433619060869641
1972,World,0.1913694660097158,0.09025069926760712,0.15347255590774125,0.04184804484209861,0.01300468381546438,0.5738275477129078
1973,World,0.20008661527784308,0.08842039170706198,0.15701309023259374,0.04269135088116608,0.013792986669540102,0.6061693489808702
1974,World,0.19648923947469346,0.09138238759168348,0.15771798571083054,0.04412352135850055,0.013805754849140692,0.5995096266689378
1975,World,0.19714532750078054,0.0954566678720162,0.15392306199400524,0.0419139454681783,0.014117111265502757,0.5923050776646681
1976,World,0.20519499506695246,0.09390021776361496,0.15882772421128452,0.04250263871872359,0.01493454929129784,0.6249855192449966
1977,World,0.20482651365138466,0.09457360384337272,0.1597288258735394,0.041136077433718304,0.015205528808079575,0.6466085337957671
1978,World,0.21660684123649185,0.0929717892510188,0.1605109275450749,0.04044754197278288,0.016302106664391275,0.6498111184110845
1979,World,0.2144483802898316,0.09551947462286736,0.16465852826095365,0.04076772415648357,0.016384786532376253,0.6781980771791553
1980,World,0.21165688746016392,0.09682342348645956,0.16380435890736575,0.041416444684769856,0.016439103152060586,0.657946818360154
1981,World,0.2178680245744408,0.09656509814620473,0.1607756727942482,0.04199872660425578,0.017248050531250232,0.6275160406383259
1982,World,0.2274971835837625,0.09526636327925997,0.15805850373787195,0.04193051863449242,0.0181565906679856,0.605459555283119
1983,World,0.2240194324734804,0.0963445404826815,0.16479085699182633,0.042097757872837496,0.01816023889807754,0.6042776612253168
1984,World,0.23761098331235064,0.09433506590052486,0.16696751636690685,0.042211012008989635,0.01937761983454426,0.6169788412500716
1985,World,0.2416852890359738,0.09275257706043773,0.16633626770468793,0.042557913445792184,0.01985593671169509,0.6256249300675183
1986,World,0.24394310407345135,0.09149042411031427,0.17007603940377786,0.04427234492857919,0.020269633181315028,0.6363754362407937
1987,World,0.2450140592312931,0.09174030334070576,0.17362154142982975,0.04629398699880584,0.02065756488426196,0.6584437415010169
1988,World,0.2401535832786201,0.0928483842084988,0.17665919301722596,0.048230489081475765,0.020580664991349158,0.6920650938543206
1989,World,0.2495753884010761,0.09233077325147276,0.17625719207205318,0.047376006793945366,0.021718922932846538,0.6980788617987974
1990,World,0.2573727854614096,0.09266308940235264,0.17433991267143906,0.0459329827646337,0.022713117368342976,0.6938270734394855
1991,World,0.2525010728559549,0.09532366083149596,0.16800217428510938,0.04584910820271936,0.022593246094695985,0.7077294362014634
1992,World,0.2533716000680435,0.09430693993169637,0.1624170687629328,0.045904986012271186,0.023024376205916575,0.7016668976763689
1993,World,0.2514068356932199,0.09460477259538193,0.16064971984148166,0.046635493561557516,0.023174734113676602,0.7063217026601063
1994,World,0.2557305153065095,0.09530626317094336,0.1594463796947181,0.04865780449744045,0.023906824612466026,0.7083872290909159
1995,World,0.2535245937406325,0.0955826917150506,0.16295550183605612,0.051043648050245735,0.024028413096828474,0.7324631994215233
1996,World,0.2630275924996253,0.09289338116745263,0.15875086808737066,0.05115449829749728,0.025386394016042958,0.7391567360846868
1997,World,0.26568871523249793,0.09203782533639876,0.16198715584817805,0.0512258175659558,0.025887237569967532,0.7490854068967436
1998,World,0.2699068199181676,0.09219488175513646,0.1593082875615478,0.051008632347752866,0.02658473702108128,0.7443516468453072
1999,World,0.2727307106656859,0.09220980846702616,0.1619157946521559,0.051015915627026336,0.027170796845833487,0.7395318310369647
2000,World,0.271921839249041,0.09323985264485378,0.16775601095497594,0.050696758978964036,0.027495846176794774,0.7644139200636125
2001,World,0.2756024935136566,0.09299983455710473,0.1613456322760059,0.050883240178525815,0.028242338452573974,0.7732661843752167
2002,World,0.27436510615579657,0.09359169962246444,0.16506742988868095,0.05108817045393332,0.028536090232020063,0.7853634148174299
2003,World,0.27667604030627746,0.09367274962656852,0.16806940460199093,0.05260651878660312,0.02899033311683575,0.8317263137381192
2004,World,0.2910639775573581,0.09169840002179673,0.16755881126718974,0.053163867877155095,0.0307635479110862,0.8639670964168007
2005,World,0.288400735008172,0.09196891741058656,0.1712878009023206,0.05326195582541613,0.03071329126753947,0.9090079485746986
